id	geo_arrayexpress_code
1	GSE53795
2	GSE26050
3	GSE36842
4	EMTAB220
5	GSE33223
6	GSE66360
7	GSE19750
8	GSE33371
9	GSE43017
10	GSE25941
11	GSE59880
12	GSE28619
13	GSE45512
14	GSE28146Incipient
15	GSE28146Moderate
16	GSE28146Severe
17	GSE48350
18	GSE5281
19	ETABM940
20	GSE56808
21	EMTAB1944
22	GSE37265
23	GSE29819
24	GSE31773
25	GSE41862
26	GSE4302
27	GSE68848
28	GSE32924
29	GSE79768
30	GSE25507
31	GSE29691
32	GSE16020
33	GSE18781
34	GSE30219
35	GSE17114
36	EMTAB1940
37	GSE20086
38	GSE7904
39	GSE36701
40	GSE58294
41	GSE12408
42	GSE63514
43	GSE17549
44	EMEXP2957
45	EMTAB1690
46	GSE37768
47	GSE42057
48	GSE8581
49	GSE10406
50	GSE33769
51	GSE15960
52	GSE41328
53	GSE4183
54	GSE8671
55	GSE9348
56	GSE36807
57	GSE32887
58	EMTAB3162
59	GSE46239
60	GSE5764
61	GSE51981
62	GSE6364
63	GSE50161
64	GSE66354
65	GSE45670
66	GSE26049
67	GSE40562
68	GSE35331
69	GSE19826
70	GSE36076
71	GSE49515
72	GSE64951
73	GSE79973
74	GSE59312
75	GSE58208
76	GSE75271
77	GSE55092
78	GSE75132
79	GSE45516
80	GSE8762
81	GSE41751
82	GSE24206
83	GSE11783
84	GSE21369
85	GSE76701
86	GSE22255
87	GSE48574
88	GSE71935
89	GSE8507
90	GSE37258
91	27041
92	GSE42088
93	EMTAB1727
94	GSE32280
95	GSE44593
96	GSE53987
97	GSE54565
98	GSE54566
99	GSE54567
100	GSE54568
101	GSE54571
102	GSE54572
103	GSE51024
104	GSE5900
105	GSE36474
106	GSE16461
107	GSE21942
108	GSE43591
109	GSE52139
110	GSE16250
111	GSE16236
112	GSE19429
113	GSE27838
114	GSE48060
115	GSE39454
116	GSE12452
117	EMTAB5231
118	GSE18842
119	GSE19188
120	GSE19804
121	GSE33532
122	GSE30784
123	GSE38517
124	GSE42743
125	GSE82107
126	EMEXP3628
127	GSE27651
128	GSE15471
129	GSE71989
130	GSE20146
131	GSE7621
132	GSE6798
133	GSE27034
134	GSE44971
135	GSE37157
136	GSE18715
137	GSE46602
138	GSE55945
139	GSE13355
140	GSE30999
141	GSE34248
142	GSE50790
143	GSE53552
144	GSE11151
145	GSE53757
146	GSE65914
147	GSE16538
148	GSE17612
149	GSE21138
150	GSE21935
151	GSE27383
152	GSE22998
153	GSE66099
154	GSE16524
155	GSE16728
156	GSE23117
157	GSE40568
158	GSE40611
159	GSE7451
160	GSE50772
161	GSE11784
162	GSE13933
163	GSE16149
164	GSE19722
165	GSE8823
166	GSE27200
167	GSE4182
168	GSE19069
169	EMEXP2757
170	GSE43177
171	GSE33630
172	GSE3678
173	GSE65144
174	GSE42806
175	GSE20436
176	GSE27536
177	GSE46687
178	EMEXP1140
179	GSE55098
180	GSE7014
181	EMEXP2559
182	GSE19420
183	GSE23343
184	GSE38713
185	GSE37171
186	GSE65127
